ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Edificio CAR,2120058,1000000,1000000,Santafe de Bogotá,Bogotá,2015,15.2,43.8,105.4,79.8,29.2,49.5,31,20.4,36.1,57.8,28.2,1.8
Edificio CAR,2120058,1000000,1000000,Santafe de Bogotá,Bogotá,2018,29.5,64,37.9,55.6,0,0,0,0,0,0,0,0
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2018,88.2,83,137.4,87.8,144,88.6,93.9,74,43,35.4,139,5.7
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2019,9.6,102.8,102.8,244.6,0,0,0,0,0,0,0,0
Edificio CAR,2120058,1000000,1000000,Santafe de Bogotá,Bogotá,2017,81.5,102.4,197.4,97.7,144.6,88.8,22,63.6,28.1,68.8,0.1,0
Doña Juana,2120630,992300,993700,Santafe de Bogotá,R. Tunjuelo,2018,19.5,16.2,58,102.5,0,0,0,0,0,0,0,0
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,2015,21.6,77.8,86.9,93.9,102.3,255.8,170.3,104.7,81.4,44.2,83.5,37.3
Apto Guaymaral,2120559,1023950,1001550,Santafe de Bogotá,R. Bogotá,2018,52.9,45.8,57.9,0,0,0,0,0,0,0,0,0
Apto Guaymaral,2120559,1023950,1001550,Santafe de Bogotá,R. Bogotá,2016,21.8,19.1,117.3,100.6,144.6,45.5,38.2,68,70.5,79.5,134.7,30.9
Edificio CAR,2120058,1000000,1000000,Santafe de Bogotá,Bogotá,2016,1.9,35.7,85.8,71.2,55.2,25.3,29.3,58,68.8,59,200.5,87
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,2016,5.8,34.9,51.3,142,178,139.9,161.6,184.2,128,89,123.6,80.4
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2018,88.2,83,137.4,87.8,144,0,0,0,0,0,0,0
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2017,47.2,33.4,205,75.6,58.6,38.7,12.1,61.8,30.7,56.9,187,51.6
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2015,66.3,76.5,50.7,37.7,61,97.4,68.3,52,32.9,21.3,31.8,4.9
Apto Guaymaral,2120559,1023950,1001550,Santafe de Bogotá,R. Bogotá,2015,53.7,32,70.7,53.8,17.3,49.7,52.8,30.8,36.7,14.6,153.7,2
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,2018,50.8,19.3,99.1,193.1,0,0,0,0,0,0,0,0
Doña Juana,2120630,992300,993700,Santafe de Bogotá,R. Tunjuelo,2017,18.1,50.5,146.8,48.3,107.2,120.7,53.2,74.6,25,50.8,73.8,43.2
Doña Juana,2120630,992300,993700,Santafe de Bogotá,R. Tunjuelo,2015,19.2,39.9,62.7,27.1,38.8,137.6,65.6,43.4,35.5,21.1,22.2,4.2
Apto Guaymaral,2120559,1023950,1001550,Santafe de Bogotá,R. Bogotá,2017,34.8,45.4,188.1,99.5,123.8,57.9,23,67.3,50,77.1,157.8,101
El Bosque,2120085,986200,995560,Santafe de Bogotá,R. Tunjuelo,2017,119.1,57.8,210.7,66.6,170.8,189.5,190,132.8,52.2,140.4,92.7,102.5
Torca,2120077,1021800,1005320,Santafe de Bogotá,R. Bogotá,2016,1.8,31.8,165.2,90.9,77.4,30.1,71.6,75.5,73.6,91.8,154.2,64.8
Doña Juana,2120630,992300,993700,Santafe de Bogotá,R. Tunjuelo,2016,3.9,18.5,60,74.7,96,37.9,54.2,66,49.4,53.3,103.5,24.4
